Northern Illinois,N Illinois
San José State,San José St
Coastal Carolina,Coastal Car
Michigan State,Michigan St
Miami (OH),Miami OH
Washington State,Washington St
Georgia State,Georgia St
Mississippi State,Mississippi St
Boise State,Boise St
Texas State,Texas St
Pittsburgh,Pitt
Arkansas State,Arkansas St
Middle Tennessee,MTSU
Oklahoma State,Oklahoma St
Florida International,FIU
Colorado State,Colorado St
Eastern Michigan,E Michigan
Western Michigan,W Michigan
Appalachian State,Appalachian St
Florida State,Florida St
Kansas State,Kansas St
Georgia Southern,Georgia So
New Mexico State,New Mexico St
Oregon State,Oregon St
Arizona State,Arizona St
Florida Atlantic,FAU
Western Kentucky,Western KY
Fresno State,Fresno St
Central Michigan,C Michigan
San Diego State,San Diego St
Kennesaw State,Kennesaw St
Alcorn State,Alcorn St
Jacksonville State,J'Ville St
South Carolina State,SC State
North Carolina A&T,NC A&T
Western Carolina,W Carolina
Bethune-Cookman,Bethune
Charleston Southern,Charleston So
Florida A&M,FAMU
Southeast Missouri State,SE Missouri St
Arkansas-Pine Bluff,AR-Pine Bluff
Murray State,Murray St
South Dakota State,S Dakota St
Western Illinois,W Illinois
Southern Illinois,S Illinois
Indiana State,Indiana St
Illinois State,Illinois St
Stephen F. Austin,SF Austin
Tennessee State,Tennessee St
Central Connecticut,C Connecticut
St. Francis (PA),St Francis PA
Eastern Kentucky,E Kentucky
Long Island University,Long Island
Eastern Illinois,E Illinois
Sacramento State,Sacramento St
Idaho State,Idaho St
Portland State,Portland St
Weber State,Weber St
Northern Colorado,N Colorado
Northern Arizona,N Arizona
North Dakota State,N Dakota St
Eastern Washington,E Washington
Montana State,Montana St
Alabama State,Alabama St
Missouri State,Missouri St
Youngstown State,Youngstown St
Abilene Christian,Abilene Chrstn
Central Arkansas,C Arkansas
Morgan State,Morgan St
Norfolk State,Norfolk St
Northwestern State,N'Western St
Houstin Christian,Hou Christian
Mississippi Valley State,Miss Valley St
Morehead State,Morehead St
North Carolina Central,NC Central
Jackson State,Jackson St
East Tennessee State,ETSU
Delaware State,Delaware St
Pennsylvania,Penn
Texas A&M-Commerce,TX A&M-Commerce
St. Thomas - Minnesota,St. Thomas (MN)
Prairie View A&M,Prairie View
